participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Tuesday,TodayPageUse-Thursday,TodayPageGoal-Thursday,FZFolderUse,SumTotalEventInteractions,LTGGoal,SumTotalLTGNoteInteractions,TodayPageGoal-Sunday,LTGFolderUse,TodayPageGoal-Friday,FZGoal,TodayPageGoal-Monday,TodayPageGoal-Saturday,TodayPageUse-Friday,TodayPageUse-Wednesday,SumTotalFZNoteInteractions,TodayPageUse-Monday,TodayPageGoal-Wednesday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Tuesday
125,9.857142857142858,19.714285714285715,17.25,9,49,22.333333333333332,3.142857142857143,34.857142857142854,22,1.7142857142857142,45.0,3.142857142857143,1.3333333333333333,22,5.0,2.3333333333333335,3,3,1.7142857142857142,13,1.3333333333333333,89,5,4.0
128,3.142857142857143,10.571428571428571,5.5,6,18,6.333333333333333,0.7142857142857143,17.285714285714285,5,1.0,5.333333333333333,0.7142857142857143,2.6666666666666665,5,6.0,2.6666666666666665,7,33,1.0,18,15.333333333333334,18,7,2.0
129,2.2857142857142856,4.714285714285714,4.0,23,15,4.666666666666667,3.142857142857143,9.285714285714286,22,1.8571428571428572,0.0,3.142857142857143,0.0,22,5.333333333333333,3.0,0,5,1.8571428571428572,17,1.6666666666666667,0,11,7.0
130,0.8571428571428571,2.142857142857143,1.5,13,5,1.6666666666666667,0.5714285714285714,5.285714285714286,4,0.42857142857142855,0.0,0.5714285714285714,3.0,4,0.0,0.0,9,8,0.42857142857142855,0,3.3333333333333335,0,0,4.333333333333333
131,1.8571428571428572,3.7142857142857144,3.25,4,0,0.0,0.0,4.428571428571429,0,0.0,1.0,0.0,0.0,0,0.0,8.0,0,0,0.0,0,0.0,3,22,1.3333333333333333
132,1.4285714285714286,3.0,2.5,3,1,0.3333333333333333,0.42857142857142855,5.857142857142857,3,0.14285714285714285,0.3333333333333333,0.42857142857142855,3.6666666666666665,3,6.333333333333333,0.0,7,7,0.14285714285714285,15,2.3333333333333335,2,0,0.6666666666666666
133,0.14285714285714285,0.14285714285714285,0.25,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0
137,1.0,2.0,1.75,16,8,2.6666666666666665,0.0,4.428571428571429,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0.0,5,0.0,0,0,6.666666666666667
114,0.0,0.0,0.0,4,7,2.0,0.0,4.0,0,0.0,0.6666666666666666,0.0,3.0,0,1.0,0.6666666666666666,9,3,0.0,4,1.0,4,3,1.0
74,0.0,0.0,0.0,0,0,0.0,0.0,0.2857142857142857,0,0.0,0.0,0.0,0.6666666666666666,0,0.0,0.0,3,0,0.0,0,0.0,0,0,0.0
