participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Friday,LTGFolderUse,LTGGoal,FZFolderUse,FZGoal,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageGoal-Sunday,TodayPageUse-Monday,TodayPageGoal-Tuesday,TodayPageGoal-Saturday,TodayPageUse-Tuesday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Friday,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageGoal-Monday,SumTotalEventInteractions,TodayPageGoal-Thursday
128,1.4285714285714286,2.7142857142857144,2.5,16,0.2857142857142857,2,0.2857142857142857,2,13,10,1.6666666666666667,0,0.6666666666666666,0.3333333333333333,3,5,1,4.333333333333333,6.333333333333333,1.1428571428571428,1.1428571428571428,0.0,15.857142857142858,3.6666666666666665
129,2.4285714285714284,4.714285714285714,4.25,10,0.7142857142857143,14,0.7142857142857143,14,0,0,0.0,0,0.0,3.0,0,0,8,0.0,3.6666666666666665,0.7142857142857143,0.7142857142857143,0.0,15.428571428571429,0.0
130,2.857142857142857,7.285714285714286,5.0,0,0.5714285714285714,6,0.5714285714285714,6,18,4,0.0,6,1.3333333333333333,1.0,5,0,3,6.333333333333333,0.0,0.8571428571428571,0.8571428571428571,2.0,9.714285714285714,2.0
131,4.857142857142857,9.428571428571429,8.5,1,0.5714285714285714,15,0.5714285714285714,15,12,0,0.6666666666666666,0,1.6666666666666667,0.3333333333333333,4,3,1,4.666666666666667,0.3333333333333333,1.0,1.0,0.0,12.0,0.0
132,5.571428571428571,11.142857142857142,9.75,4,1.8571428571428572,33,1.8571428571428572,33,0,18,8.0,4,0.0,1.0,0,22,3,0.0,1.6666666666666667,3.5714285714285716,3.5714285714285716,1.0,29.714285714285715,6.666666666666667
133,0.14285714285714285,0.2857142857142857,0.25,0,0.42857142857142855,4,0.42857142857142855,4,0,0,0.0,0,4.333333333333333,0.0,13,0,0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,2.0,0.0
137,2.142857142857143,4.142857142857143,3.75,10,0.8571428571428571,14,0.8571428571428571,14,11,2,1.0,0,3.6666666666666665,0.0,11,3,0,5.0,4.666666666666667,1.1428571428571428,1.1428571428571428,0.0,13.142857142857142,0.6666666666666666
140,1.1428571428571428,2.142857142857143,2.0,0,0.42857142857142855,14,0.42857142857142855,14,6,0,0.0,0,2.3333333333333335,0.0,6,0,0,1.0,0.0,1.4285714285714286,1.4285714285714286,0.0,3.857142857142857,0.0
154,0.14285714285714285,0.14285714285714285,0.25,0,0.0,0,0.0,0,0,0,0.0,3,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.0
21,0.0,0.0,0.0,3,0.5714285714285714,13,0.5714285714285714,13,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.5714285714285714,0.0
