participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Tuesday,SumTotalEventInteractions,TodayPageGoal-Tuesday,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageUse-Friday,TodayPageGoal-Sunday,LTGFolderUse,TodayPageUse-Monday,FZGoal,TodayPageGoal-Saturday,LTGGoal,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Friday,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageGoal-Monday,FZFolderUse,TodayPageGoal-Thursday
114,3.142857142857143,6.142857142857143,5.5,16,12.571428571428571,4.333333333333333,0,4,10,5.666666666666667,0.8571428571428571,5,14,1.0,14,17,4,0.0,2.3333333333333335,2.0,2.0,1.3333333333333333,0.8571428571428571,1.3333333333333333
115,4.571428571428571,9.428571428571429,8.0,10,10.571428571428571,4.333333333333333,6,0,6,2.0,0.0,10,0,2.0,0,5,5,1.6666666666666667,1.3333333333333333,0.0,0.0,3.3333333333333335,0.0,0.0
116,1.5714285714285714,2.857142857142857,2.75,15,3.0,4.333333333333333,0,0,0,1.6666666666666667,0.0,0,0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,5.0,15.285714285714286,8.75,18,9.571428571428571,7.333333333333333,0,0,0,0.3333333333333333,0.0,8,0,0.0,0,1,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
121,6.285714285714286,11.857142857142858,11.0,0,6.285714285714286,0.0,16,0,0,3.3333333333333335,0.0,0,0,0.0,0,8,0,4.333333333333333,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
122,2.2857142857142856,5.142857142857143,4.0,0,7.714285714285714,0.0,20,0,0,0.0,0.0,0,0,0.0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1.7142857142857142,3.2857142857142856,3.0,10,9.857142857142858,4.666666666666667,3,0,3,2.3333333333333335,0.0,7,0,0.0,0,6,0,1.0,0.6666666666666666,0.0,0.0,2.3333333333333335,0.0,0.0
125,3.142857142857143,46.285714285714285,5.5,11,13.571428571428571,4.0,13,2,1,3.6666666666666665,0.5714285714285714,5,18,0.0,18,10,0,2.6666666666666665,0.3333333333333333,3.0,3.0,1.0,0.5714285714285714,0.3333333333333333
128,0.42857142857142855,1.1428571428571428,0.75,0,2.2857142857142856,0.0,11,0,0,0.0,0.0,0,0,0.0,0,0,0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
129,2.7142857142857144,5.285714285714286,4.75,0,4.428571428571429,0.0,1,0,0,1.6666666666666667,0.0,0,0,1.0,0,5,4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
130,8.571428571428571,19.0,15.0,5,18.571428571428573,1.3333333333333333,18,0,14,2.3333333333333335,0.0,2,0,3.0,0,7,10,6.0,5.666666666666667,0.0,0.0,1.0,0.0,0.0
131,0.7142857142857143,1.4285714285714286,1.25,0,3.2857142857142856,0.0,9,0,0,0.0,0.0,0,0,0.0,0,0,0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
132,19.285714285714285,42.57142857142857,33.75,1,17.857142857142858,0.3333333333333333,21,8,8,0.6666666666666666,0.0,2,0,1.0,0,2,4,7.333333333333333,3.0,0.0,0.0,0.6666666666666666,0.0,4.333333333333333
133,1.1428571428571428,2.857142857142857,2.0,8,1.5714285714285714,2.6666666666666665,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.42857142857142855,0.8571428571428571,0.75,0,1.2857142857142858,0.0,7,0,0,0.0,0.0,0,0,0.0,0,0,0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
140,1.4285714285714286,3.142857142857143,2.5,0,1.4285714285714286,0.0,6,0,0,0.0,0.0,0,0,0.0,0,0,0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
