participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Tuesday,LTGFolderUse,LTGGoal,FZFolderUse,FZGoal,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageUse-Friday,TodayPageGoal-Sunday,TodayPageUse-Monday,TodayPageGoal-Tuesday,TodayPageGoal-Saturday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Friday,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageGoal-Monday,SumTotalEventInteractions,TodayPageGoal-Thursday
133,1.5714285714285714,2.7142857142857144,2.75,8,0.2857142857142857,21,0.2857142857142857,21,0,0,0,0.0,2,3.3333333333333335,0.0,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,2.5714285714285716,0.0
134,1.2857142857142858,2.857142857142857,2.25,1,0.5714285714285714,12,0.5714285714285714,12,0,0,0,0.0,5,0.0,0.0,0,0,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0,2.857142857142857,0.0
137,0.5714285714285714,1.0,1.0,4,0.42857142857142855,6,0.42857142857142855,6,10,0,0,0.0,0,1.0,0.0,0,0,2.6666666666666665,0.0,0.42857142857142855,0.42857142857142855,0.0,2.0,0.0
113,0.0,0.5714285714285714,0.0,0,0.2857142857142857,7,0.2857142857142857,7,0,0,0,0.0,3,0.0,0.0,0,0,0.0,0.0,0.5714285714285714,0.5714285714285714,1.0,0.8571428571428571,0.0
47,0.0,0.0,0.0,0,0.0,0,0.0,0,1,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0,0.42857142857142855,4,0.42857142857142855,4,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
147,0.0,0.0,0.0,0,0.5714285714285714,14,0.5714285714285714,14,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
151,0.0,0.0,0.0,0,0.14285714285714285,1,0.14285714285714285,1,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
153,0.0,0.0,0.0,0,0.8571428571428571,46,0.8571428571428571,46,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0
154,0.0,0.0,0.0,0,0.8571428571428571,165,0.8571428571428571,165,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,7.571428571428571,7.571428571428571,0.0,0.0,0.0
